content_id,platform,title_or_text,published_at,published_month,impressions_or_views_or_delivered,engagements,engagement_rate,performance_tier,content_length_bucket
gp_0001,ghost,The Case for Local-First Analytics,2024-04-04 19:30:47,2024-04,153,60,39.22,viral,medium
gp_0002,ghost,Understanding Your Newsletter Metrics,2024-11-23 21:33:18,2024-11,358,229,63.97,viral,long
gp_0003,ghost,Building a Data Stack on a Budget,2024-08-16 14:10:58,2024-08,454,263,57.93,viral,long
gp_0004,ghost,Identity Resolution Without a CDP,2024-05-29 09:12:01,2024-05,250,106,42.4,viral,long
gp_0005,ghost,Monthly Content Review: Lessons Learned,2024-03-13 19:42:16,2024-03,408,224,54.9,viral,long
gp_0006,ghost,Why I Self-Host My Analytics,2025-02-12 15:23:08,2025-02,459,217,47.28,viral,long
gp_0007,ghost,Data Quality Checklist for Creators,2024-06-20 09:29:13,2024-06,423,130,30.73,viral,long
gp_0008,ghost,ETL Patterns for Newsletter Data,2024-04-24 12:04:30,2024-04,451,168,37.25,viral,medium
gp_0009,ghost,Choosing the Right BI Tool,2025-01-02 02:47:06,2025-01,191,86,45.03,viral,long
gp_0010,ghost,Content Performance: Beyond Vanity Metrics,2025-01-14 02:15:50,2025-01,463,119,25.7,viral,long
gp_0011,ghost,How to Track Cross-Platform Engagement,2024-07-11 07:43:26,2024-07,398,193,48.49,viral,long
gp_0012,ghost,The Modern Creator's Data Toolkit,2024-12-30 06:25:42,2024-12,445,255,57.3,viral,long
gp_0013,ghost,From Spreadsheets to SQL: A Migration Guide,2025-04-04 09:33:55,2025-04,316,190,60.13,viral,medium
gp_0014,ghost,Event Tracking Best Practices,2024-10-12 09:51:13,2024-10,295,80,27.12,viral,short
gp_0015,ghost,Link Analytics: What Clicks Tell You,2024-12-31 23:00:38,2024-12,236,135,57.2,viral,medium
gp_0016,ghost,Email Open Rates: Myths and Reality,2024-03-28 20:53:50,2024-03,449,146,32.52,viral,medium
gp_0017,ghost,Building Dashboards That Drive Decisions,2025-04-03 07:15:33,2025-04,204,117,57.35,viral,long
gp_0018,ghost,Data Modeling for Content Businesses,2024-01-18 15:20:34,2024-01,152,77,50.66,viral,long
gp_0019,ghost,Automating Your Monthly Metrics Report,2025-01-03 20:05:34,2025-01,214,122,57.01,viral,long
gp_0020,ghost,The Future of Creator Analytics,2024-11-02 10:53:21,2024-11,361,213,59.0,viral,medium
gp_0021,ghost,The Case for Local-First Analytics — Part 2,2025-03-12 03:45:36,2025-03,454,241,53.08,viral,medium
gp_0022,ghost,Understanding Your Newsletter Metrics — Part 2,2025-05-20 20:39:25,2025-05,313,212,67.73,viral,long
gp_0023,ghost,Building a Data Stack on a Budget — Part 2,2025-06-16 19:10:51,2025-06,382,86,22.51,viral,long
gp_0024,ghost,Identity Resolution Without a CDP — Part 2,2025-02-10 01:03:04,2025-02,417,264,63.31,viral,medium
gp_0025,ghost,Monthly Content Review: Lessons Learned — Part 2,2025-04-14 19:16:04,2025-04,215,140,65.12,viral,long
gp_0026,ghost,Why I Self-Host My Analytics — Part 2,2025-01-19 17:27:33,2025-01,288,166,57.64,viral,long
gp_0027,ghost,Data Quality Checklist for Creators — Part 2,2024-10-25 10:50:41,2024-10,200,117,58.5,viral,long
gp_0028,ghost,ETL Patterns for Newsletter Data — Part 2,2025-06-10 12:03:13,2025-06,329,94,28.57,viral,long
gp_0029,ghost,Choosing the Right BI Tool — Part 2,2025-01-07 17:33:41,2025-01,188,106,56.38,viral,medium
gp_0030,ghost,Content Performance: Beyond Vanity Metrics — Part 2,2024-03-06 04:00:44,2024-03,319,108,33.86,viral,short
gp_0031,ghost,How to Track Cross-Platform Engagement — Part 2,2024-05-24 06:35:44,2024-05,399,248,62.16,viral,medium
gp_0032,ghost,The Modern Creator's Data Toolkit — Part 2,2024-01-04 01:58:25,2024-01,463,309,66.74,viral,long
gp_0033,ghost,From Spreadsheets to SQL: A Migration Guide — Part 2,2024-01-22 19:22:53,2024-01,405,91,22.47,viral,long
gp_0034,ghost,Event Tracking Best Practices — Part 2,2025-05-24 01:55:55,2025-05,438,153,34.93,viral,long
gp_0035,ghost,Link Analytics: What Clicks Tell You — Part 2,2025-03-07 06:57:24,2025-03,283,66,23.32,viral,long
gp_0036,ghost,Email Open Rates: Myths and Reality — Part 2,2025-01-21 09:27:33,2025-01,212,143,67.45,viral,long
gp_0037,ghost,Building Dashboards That Drive Decisions — Part 2,2024-10-11 06:01:29,2024-10,181,73,40.33,viral,long
gp_0038,ghost,Data Modeling for Content Businesses — Part 2,2024-10-20 05:19:08,2024-10,278,86,30.94,viral,medium
gp_0039,ghost,Automating Your Monthly Metrics Report — Part 2,2024-04-26 11:47:17,2024-04,269,102,37.92,viral,long
gp_0040,ghost,The Future of Creator Analytics — Part 2,2024-04-29 06:30:25,2024-04,371,162,43.67,viral,long
gp_0041,ghost,The Case for Local-First Analytics — Part 3,2024-11-02 11:43:46,2024-11,104,26,25.0,viral,long
gp_0042,ghost,Understanding Your Newsletter Metrics — Part 3,2024-07-07 22:04:46,2024-07,428,216,50.47,viral,medium
gp_0043,ghost,Building a Data Stack on a Budget — Part 3,2024-12-05 03:18:35,2024-12,449,288,64.14,viral,short
gp_0044,ghost,Identity Resolution Without a CDP — Part 3,2024-07-27 05:30:23,2024-07,297,97,32.66,viral,medium
gp_0045,ghost,Monthly Content Review: Lessons Learned — Part 3,2025-01-30 06:58:34,2025-01,364,222,60.99,viral,short
gp_0046,ghost,Why I Self-Host My Analytics — Part 3,2024-07-23 17:27:00,2024-07,328,145,44.21,viral,long
gp_0047,ghost,Data Quality Checklist for Creators — Part 3,2024-06-10 20:28:14,2024-06,198,71,35.86,viral,long
gp_0048,ghost,ETL Patterns for Newsletter Data — Part 3,2024-02-14 23:03:17,2024-02,185,126,68.11,viral,medium
gp_0049,ghost,Choosing the Right BI Tool — Part 3,2025-02-26 05:33:57,2025-02,103,52,50.49,viral,long
gp_0050,ghost,Content Performance: Beyond Vanity Metrics — Part 3,2024-04-25 02:04:49,2024-04,496,152,30.65,viral,long
gp_0051,ghost,How to Track Cross-Platform Engagement — Part 3,2025-01-09 05:32:58,2025-01,205,96,46.83,viral,medium
gp_0052,ghost,The Modern Creator's Data Toolkit — Part 3,2025-01-18 16:44:33,2025-01,431,262,60.79,viral,long
gp_0053,ghost,From Spreadsheets to SQL: A Migration Guide — Part 3,2024-02-09 09:04:00,2024-02,112,48,42.86,viral,medium
gp_0054,ghost,Event Tracking Best Practices — Part 3,2024-06-30 02:47:53,2024-06,137,31,22.63,viral,medium
gp_0055,ghost,Link Analytics: What Clicks Tell You — Part 3,2025-03-09 15:23:26,2025-03,136,66,48.53,viral,long
gp_0056,ghost,Email Open Rates: Myths and Reality — Part 3,2024-05-04 07:04:06,2024-05,308,121,39.29,viral,medium
gp_0057,ghost,Building Dashboards That Drive Decisions — Part 3,2024-12-10 02:22:01,2024-12,261,54,20.69,viral,long
gp_0058,ghost,Data Modeling for Content Businesses — Part 3,2025-01-02 14:54:23,2025-01,103,53,51.46,viral,long
gp_0059,ghost,Automating Your Monthly Metrics Report — Part 3,2024-12-03 14:50:59,2024-12,123,67,54.47,viral,long
gp_0060,ghost,The Future of Creator Analytics — Part 3,2024-02-09 15:12:43,2024-02,154,53,34.42,viral,long
li_0001,linkedin,Hot take: most data pipelines are over-engineered.,2024-01-13 15:42:07,2024-01,6997,613,8.76,viral,medium
li_0002,linkedin,Why I switched from Airflow to Dagster — a thread.,2024-06-02 14:53:36,2024-06,3934,256,6.51,high,medium
li_0003,linkedin,Why event-driven architectures are worth the complexity.,2024-08-23 06:52:38,2024-08,2582,136,5.27,high,medium
li_0004,linkedin,The gap between a prototype and production is always larger than expected.,2024-06-06 13:50:11,2024-06,716,50,6.98,high,medium
li_0005,linkedin,Grateful for the data community — always learning from you all.,2024-03-05 20:53:58,2024-03,5506,457,8.3,viral,medium
li_0006,linkedin,Automated testing for data pipelines saved us from a major outage.,2024-03-19 18:28:46,2024-03,1559,34,2.18,medium,medium
li_0007,linkedin,Reading 'Designing Data-Intensive Applications' for the third time.,2024-10-10 13:20:09,2024-10,592,44,7.43,high,medium
li_0008,linkedin,Building in public: our analytics stack journey.,2025-03-28 05:54:14,2025-03,1378,69,5.01,high,short
li_0009,linkedin,The gap between a prototype and production is always larger than expected.,2024-02-29 20:15:30,2024-02,855,82,9.59,viral,medium
li_0010,linkedin,Newsletter engagement metrics are fascinating to analyze.,2024-09-16 03:01:48,2024-09,4213,316,7.5,high,medium
li_0011,linkedin,Sometimes the simplest solution is a cron job and a shell script.,2025-01-28 18:22:47,2025-01,2730,217,7.95,high,medium
li_0012,linkedin,Grateful for the data community — always learning from you all.,2024-03-01 00:04:15,2024-03,259,9,3.47,medium,medium
li_0013,linkedin,Why event-driven architectures are worth the complexity.,2024-11-29 20:48:30,2024-11,745,59,7.92,high,medium
li_0014,linkedin,My productivity hack: write the SQL query before the schema.,2024-06-26 11:26:56,2024-06,2216,101,4.56,medium,medium
li_0015,linkedin,Automated testing for data pipelines saved us from a major outage.,2024-10-25 06:21:51,2024-10,16909,1309,7.74,high,medium
li_0016,linkedin,Controversial opinion: you don't need a data lake yet.,2024-04-14 23:25:46,2024-04,336,15,4.46,medium,medium
li_0017,linkedin,Pair programming with an AI agent — surprisingly effective.,2025-01-19 21:01:18,2025-01,2359,152,6.44,high,medium
li_0018,linkedin,Grateful for the data community — always learning from you all.,2024-05-29 07:23:15,2024-05,98,4,4.08,medium,medium
li_0019,linkedin,Spent the weekend refactoring our ETL and cut costs by 40%.,2025-03-15 07:41:09,2025-03,598,41,6.86,high,medium
li_0020,linkedin,Open source tools have completely transformed how I work.,2025-02-12 01:07:25,2025-02,374,13,3.48,medium,medium
li_0021,linkedin,Sometimes the simplest solution is a cron job and a shell script.,2024-05-12 09:10:12,2024-05,2311,142,6.14,high,medium
li_0022,linkedin,Newsletter engagement metrics are fascinating to analyze.,2024-09-14 22:22:50,2024-09,1689,167,9.89,viral,medium
li_0023,linkedin,Newsletter engagement metrics are fascinating to analyze.,2025-05-25 12:39:38,2025-05,4869,228,4.68,medium,medium
li_0024,linkedin,Hot take: most data pipelines are over-engineered.,2024-02-02 07:15:59,2024-02,5383,269,5.0,high,medium
li_0025,linkedin,Controversial opinion: you don't need a data lake yet.,2025-05-13 14:57:44,2025-05,5986,436,7.28,high,medium
li_0026,linkedin,5 things I wish I knew before building my first data warehouse.,2025-04-23 16:50:32,2025-04,1307,126,9.64,viral,medium
li_0027,linkedin,My productivity hack: write the SQL query before the schema.,2025-03-17 14:41:49,2025-03,299,20,6.69,high,medium
li_0028,linkedin,Reflecting on 10 years in tech — still love building things.,2025-03-07 18:13:10,2025-03,1948,93,4.77,medium,medium
li_0029,linkedin,Open source tools have completely transformed how I work.,2024-10-08 08:14:15,2024-10,515,20,3.88,medium,medium
li_0030,linkedin,Just gave a talk on modern data stacks at the local meetup.,2024-08-31 22:01:20,2024-08,536,34,6.34,high,medium
li_0031,linkedin,Controversial opinion: you don't need a data lake yet.,2025-01-13 06:02:22,2025-01,561,39,6.95,high,medium
li_0032,linkedin,The gap between a prototype and production is always larger than expected.,2025-01-11 21:33:54,2025-01,772,70,9.07,viral,medium
li_0033,linkedin,The gap between a prototype and production is always larger than expected.,2024-07-22 23:58:47,2024-07,15924,1442,9.06,viral,medium
li_0034,linkedin,Hot take: most data pipelines are over-engineered.,2025-04-21 17:33:42,2025-04,231,14,6.06,high,medium
li_0035,linkedin,"Data quality is everyone's responsibility, not just the DE team.",2025-03-28 12:15:18,2025-03,3101,188,6.06,high,medium
li_0036,linkedin,"Data quality is everyone's responsibility, not just the DE team.",2024-03-04 11:12:33,2024-03,255,8,3.14,medium,medium
li_0037,linkedin,Just shipped a new feature that reduced query time by 80%.,2024-03-13 00:59:55,2024-03,735,48,6.53,high,medium
li_0038,linkedin,Learned something surprising about DuckDB performance today.,2024-08-04 04:30:42,2024-08,14226,816,5.74,high,medium
li_0039,linkedin,Newsletter engagement metrics are fascinating to analyze.,2024-10-22 11:24:23,2024-10,7300,273,3.74,medium,medium
li_0040,linkedin,The future of analytics is local-first. Change my mind.,2025-06-18 04:04:45,2025-06,1841,178,9.67,viral,medium
li_0041,linkedin,"The best dashboards tell a story, not just show numbers.",2024-07-24 02:27:32,2024-07,3335,217,6.51,high,medium
