post_id,title,slug,published_at,word_count,email_delivered_count,email_opened_count
gp_0001,The Case for Local-First Analytics,the-case-for-local-first-analytics,2024-04-04 19:30:47,825,153,60
gp_0002,Understanding Your Newsletter Metrics,understanding-your-newsletter-metrics,2024-11-23 21:33:18,1618,358,229
gp_0003,Building a Data Stack on a Budget,building-a-data-stack-on-a-budget,2024-08-16 14:10:58,2794,454,263
gp_0004,Identity Resolution Without a CDP,identity-resolution-without-a-cdp,2024-05-29 09:12:01,1704,250,106
gp_0005,Monthly Content Review: Lessons Learned,monthly-content-review-lessons-learned,2024-03-13 19:42:16,1990,408,224
gp_0006,Why I Self-Host My Analytics,why-i-self-host-my-analytics,2025-02-12 15:23:08,1524,459,217
gp_0007,Data Quality Checklist for Creators,data-quality-checklist-for-creators,2024-06-20 09:29:13,2567,423,130
gp_0008,ETL Patterns for Newsletter Data,etl-patterns-for-newsletter-data,2024-04-24 12:04:30,1490,451,168
gp_0009,Choosing the Right BI Tool,choosing-the-right-bi-tool,2025-01-02 02:47:06,2962,191,86
gp_0010,Content Performance: Beyond Vanity Metrics,content-performance-beyond-vanity-metrics,2025-01-14 02:15:50,1620,463,119
gp_0011,How to Track Cross-Platform Engagement,how-to-track-cross-platform-engagement,2024-07-11 07:43:26,2267,398,193
gp_0012,The Modern Creator's Data Toolkit,the-modern-creator's-data-toolkit,2024-12-30 06:25:42,2009,445,255
gp_0013,From Spreadsheets to SQL: A Migration Guide,from-spreadsheets-to-sql-a-migration-guide,2025-04-04 09:33:55,1471,316,190
gp_0014,Event Tracking Best Practices,event-tracking-best-practices,2024-10-12 09:51:13,403,295,80
gp_0015,Link Analytics: What Clicks Tell You,link-analytics-what-clicks-tell-you,2024-12-31 23:00:38,1118,236,135
gp_0016,Email Open Rates: Myths and Reality,email-open-rates-myths-and-reality,2024-03-28 20:53:50,1473,449,146
gp_0017,Building Dashboards That Drive Decisions,building-dashboards-that-drive-decisions,2025-04-03 07:15:33,1508,204,117
gp_0018,Data Modeling for Content Businesses,data-modeling-for-content-businesses,2024-01-18 15:20:34,2153,152,77
gp_0019,Automating Your Monthly Metrics Report,automating-your-monthly-metrics-report,2025-01-03 20:05:34,2601,214,122
gp_0020,The Future of Creator Analytics,the-future-of-creator-analytics,2024-11-02 10:53:21,1273,361,213
gp_0021,The Case for Local-First Analytics — Part 2,the-case-for-local-first-analytics-—-part-2,2025-03-12 03:45:36,1478,454,241
gp_0022,Understanding Your Newsletter Metrics — Part 2,understanding-your-newsletter-metrics-—-part-2,2025-05-20 20:39:25,1887,313,212
gp_0023,Building a Data Stack on a Budget — Part 2,building-a-data-stack-on-a-budget-—-part-2,2025-06-16 19:10:51,1580,382,86
gp_0024,Identity Resolution Without a CDP — Part 2,identity-resolution-without-a-cdp-—-part-2,2025-02-10 01:03:04,1131,417,264
gp_0025,Monthly Content Review: Lessons Learned — Part 2,monthly-content-review-lessons-learned-—-part-2,2025-04-14 19:16:04,2114,215,140
gp_0026,Why I Self-Host My Analytics — Part 2,why-i-self-host-my-analytics-—-part-2,2025-01-19 17:27:33,2952,288,166
gp_0027,Data Quality Checklist for Creators — Part 2,data-quality-checklist-for-creators-—-part-2,2024-10-25 10:50:41,2771,200,117
gp_0028,ETL Patterns for Newsletter Data — Part 2,etl-patterns-for-newsletter-data-—-part-2,2025-06-10 12:03:13,1504,329,94
gp_0029,Choosing the Right BI Tool — Part 2,choosing-the-right-bi-tool-—-part-2,2025-01-07 17:33:41,1065,188,106
gp_0030,Content Performance: Beyond Vanity Metrics — Part 2,content-performance-beyond-vanity-metrics-—-part-2,2024-03-06 04:00:44,466,319,108
gp_0031,How to Track Cross-Platform Engagement — Part 2,how-to-track-cross-platform-engagement-—-part-2,2024-05-24 06:35:44,959,399,248
gp_0032,The Modern Creator's Data Toolkit — Part 2,the-modern-creator's-data-toolkit-—-part-2,2024-01-04 01:58:25,2210,463,309
gp_0033,From Spreadsheets to SQL: A Migration Guide — Part 2,from-spreadsheets-to-sql-a-migration-guide-—-part-2,2024-01-22 19:22:53,1621,405,91
